id;lat;lng;title;reiting;content_text;address;content;cats
2885;60.0912358107541;30.3805888648926;Контейнеры для вторсырья;1;Бумага, Пластик;СПБ, КАД(117 км внешн.);"<div class=""trash_type sm_trash_type""><span style=""background-image: url(images/trash/trash1.png)"" data-tooltip=""""></span><span style=""background-image: url(images/trash/trash3.png)"" data-tooltip=""""></span></div>";1_3
2886;59.9628444012393;30.4119467994751;Пункт приёма;5.0;Бумага, Стекло, Металл;Полюстровский пр., 3;"<div class=""trash_type sm_trash_type""><span style=""background-image: url(images/trash/trash1.png)"" data-tooltip=""""></span><span style=""background-image: url(images/trash/trash2.png)"" data-tooltip=""""></span><span style=""background-image: url(images/trash/trash4.png)"" data-tooltip=""""></span></div>";1_2_4
2887;59.7500255597561;30.5807803929902;Терминал приема опасных отходов «Экобокс»;0;Опасные отходы, Батарейки, Лампочки;пр. Ленина, 24;"<div class=""trash_type sm_trash_type""><span style=""background-image: url(images/trash/trash7.png)"" data-tooltip=""""></span><span style=""background-image: url(images/trash/trash8.png)"" data-tooltip=""""></span><span style=""background-image: url(images/trash/trash9.png)"" data-tooltip=""""></span></div>";7_8_9
2888;59.8943763516474;30.3592346888855;Терминал приема опасных отходов «Экобокс»;5;Батарейки;Прогонная ул., 1;"<div class=""trash_type sm_trash_type""><span style=""background-image: url(images/trash/trash8.png)"" data-tooltip=""""></span></div>";8
2889;59.8690542467506;30.3676821218124;Пункт приёма;0;Стекло, Металл;Санкт-Петербург, Будапештская ул., д. 11;"<div class=""trash_type sm_trash_type""><span style=""background-image: url(images/trash/trash2.png)"" data-tooltip=""""></span><span style=""background-image: url(images/trash/trash4.png)"" data-tooltip=""""></span></div>";2_4
2890;59.8689276839935;30.3672583327881;Пункт приёма;5;Бумага;Санкт-Петербург, Будапештская ул., д. 11;"<div class=""trash_type sm_trash_type""><span style=""background-image: url(images/trash/trash1.png)"" data-tooltip=""""></span></div>";1
2891;59.9470356380443;29.5626509253784;Контейнер для макулатуры;0;Бумага;Ленинградская обл., Ленинградская обл., пос. Большая Ижора, Приморское ш., д. 7, 8-921-412-66-76;"<div class=""trash_type sm_trash_type""><span style=""background-image: url(images/trash/trash1.png)"" data-tooltip=""""></span></div>";1
2892;59.7519162492845;30.6099850529174;Стационарный пункт приема опасных отходов;0;Опасные отходы, Батарейки, Лампочки, Бытовая техника;ул. Правды, 11;"<div class=""trash_type sm_trash_type""><span style=""background-image: url(images/trash/trash7.png)"" data-tooltip=""""></span><span style=""background-image: url(images/trash/trash8.png)"" data-tooltip=""""></span><span style=""background-image: url(images/trash/trash9.png)"" data-tooltip=""""></span><span style=""background-image: url(images/trash/trash10.png)"" data-tooltip=""""></span></div>";7_8_9_10
2893;60.0026739216769;30.2973560592773;Стационарный пункт приема опасных отходов;0;Опасные отходы, Батарейки, Лампочки, Бытовая техника;Санкт-Петербург, Коломяжский пр., д. 24, 8-931-539-19-96;"<div class=""trash_type sm_trash_type""><span style=""background-image: url(images/trash/trash7.png)"" data-tooltip=""""></span><span style=""background-image: url(images/trash/trash8.png)"" data-tooltip=""""></span><span style=""background-image: url(images/trash/trash9.png)"" data-tooltip=""""></span><span style=""background-image: url(images/trash/trash10.png)"" data-tooltip=""""></span></div>";7_8_9_10
2894;60.0929867208038;29.9580986183853;Стационарный пункт приема опасных отходов;3.7;Опасные отходы, Батарейки, Лампочки, Бытовая техника;Дубковское ш., 1;"<div class=""trash_type sm_trash_type""><span style=""background-image: url(images/trash/trash7.png)"" data-tooltip=""""></span><span style=""background-image: url(images/trash/trash8.png)"" data-tooltip=""""></span><span style=""background-image: url(images/trash/trash9.png)"" data-tooltip=""""></span><span style=""background-image: url(images/trash/trash10.png)"" data-tooltip=""""></span></div>";7_8_9_10
2895;59.9014523;30.2772606;Терминал приема опасных отходов «Экобокс»;0;Опасные отходы, Батарейки, Лампочки;Санкт-Петербург, ул. Ивана Черных, д. 4;"<div class=""trash_type sm_trash_type""><span style=""background-image: url(images/trash/trash7.png)"" data-tooltip=""""></span><span style=""background-image: url(images/trash/trash8.png)"" data-tooltip=""""></span><span style=""background-image: url(images/trash/trash9.png)"" data-tooltip=""""></span></div>";7_8_9
2897;60.015033;30.316235;Благотворительный магазин «Лепта»;5;Одежда, Иное;Санкт-Петербург, Удельный пр., д. 17, (812) 243-91-41;"<div class=""trash_type sm_trash_type""><span style=""background-image: url(images/trash/trash5.png)"" data-tooltip=""""></span><span style=""background-image: url(images/trash/trash6.png)"" data-tooltip=""""></span></div>";5_6
2898;59.953373;30.4677360000001;Благотворительный магазин «Лепта»;0;Одежда, Иное;Индустриальный пр., 38 корпус 3;"<div class=""trash_type sm_trash_type""><span style=""background-image: url(images/trash/trash5.png)"" data-tooltip=""""></span><span style=""background-image: url(images/trash/trash6.png)"" data-tooltip=""""></span></div>";5_6
2899;59.9383415118972;30.3597850502624;Контейнер для сбора вещей от благотворительного магазина «Спасибо»;0;Одежда, Иное;ул. Восстания, 24;"<div class=""trash_type sm_trash_type""><span style=""background-image: url(images/trash/trash5.png)"" data-tooltip=""""></span><span style=""background-image: url(images/trash/trash6.png)"" data-tooltip=""""></span></div>";5_6
2900;60.0531328033236;29.9996691991973;Экодомик;0;Бумага, Пластик;Санкт-Петербург, Сестрорецк, ул. Всеволода Боброва, д. 29;"<div class=""trash_type sm_trash_type""><span style=""background-image: url(images/trash/trash1.png)"" data-tooltip=""""></span><span style=""background-image: url(images/trash/trash3.png)"" data-tooltip=""""></span></div>";1_3
2901;59.9277310642011;30.3521039914017;Терминал приема опасных отходов «Экобокс»;0;Батарейки;ул. Марата, 25Б;"<div class=""trash_type sm_trash_type""><span style=""background-image: url(images/trash/trash8.png)"" data-tooltip=""""></span></div>";8
2902;59.7316886128119;30.4185127920655;Контейнер для ПЭТ-бутылок;0;Пластик;б-р Алексея Толстого, 9;"<div class=""trash_type sm_trash_type""><span style=""background-image: url(images/trash/trash3.png)"" data-tooltip=""""></span></div>";3
2903;59.940960919264;30.2265692380981;Терминал приема опасных отходов «Экобокс»;0;Батарейки;ул. Нахимова, 18;"<div class=""trash_type sm_trash_type""><span style=""background-image: url(images/trash/trash8.png)"" data-tooltip=""""></span></div>";8
