"id", "standard_id", "general_type_eng", "detailed_type_eng", "general_type_ru", "detailed_type_ru", "synonymes", "pic", "rsbor_take", "clean_required", "comment"
"31", "2", "plastic", "PE overwrap", "пластик", "ПЭ пленка", "", "hQrkqmvlly8.jpg", "1", "0", "Подготовка: вытряхнуть мусор, срезать наклейки, ценники и т.п."
"32", "2", "plastic", "PE plastic bubble wrap", "пластик", "ПЭ пузырчатая пленка", "", "NcwZJXetho8.jpg", "1", "0", "Подготовка: вытряхнуть мусор, срезать наклейки, ценники и т.п."
"33", "2", "plastic", "file", "пластик", "канцелярский вкладыш", "файл", "r0yElBnjFOY.jpg", "1", "0", "Подготовка: срезать наклейки, ценники и т.п."
"34", "2", "plastic", "PE diary package", "пластик", "ПЭ упаковка из-под молочных продуктов", "", "4lOZhcP8XUg.jpg", "1", "1", "Подготовка: вымыть, срезать наклейки, ценники и т.п."
"35", "2", "plastic", "PE post package", "пластик", "ПЭ почтовая упаковка", "", "WY-CHoQfPns.jpg", "1", "1", "Подготовка: вытряхнуть мусор, срезать наклейки, ценники и т.п."
"36", "", "plastic", "bottle plastic label", "пластик", "этикетка от бутылки из-под напитков", "этикетка, лейбл", "GZFefu1Qyg4.jpg", "1", "0", "Если не стоит маркировка 3 (РVC, ПВХ) и этикетки не фольгированные (металлизированные, блестящие). Складывать с пакетами и пленкой."
"37", "5", "plastic", "PP pasta package", "пластик", "упаковка от макарон", "макарон", "RM_p73E16YA.jpg", "1", "0", "Подготовка: вытряхнуть крошки, срезать наклейки, ценники и т.п."
"38", "41", "metal", "aluminium can", "метал", "алюминиевая банка", "банка пиво, пивная банка, банка из-под пива", "86iuzD_0qmg.jpg", "1", "1", "Подготовка: сполоснуть, максимально смять; сортировать отдельно от другого металла"
"39", "40", "metal", "tin can", "метал", "жестяная банка", "консервная ", "DZpILtyTHKQ.jpg", "1", "1", "Подготовка: почистить, помыть; снять все этикетки, смять или сложить одну в другую как матрешки"
"40", "40", "metal", "tin cap", "метал", "железная крышка от банок", "", "DZpILtyTHKQ.jpg", "1", "1", "Подготовка: удалить возможные загрязнения"
"41", "40", "metal", "tea light aluminum box", "метал", "гильза от чайной свечи", "", "jS-CMuRoAVA.jpg", "1", "0", "Подготовка: удалить остатки воска"
"42", "40", "metal", "tin box", "метал", "жестяная коробка", "", "QwM4VSj5u1g.jpg", "1", "0", "Подготовка: удалить остатки содержимого"
"43", "", "plastic", "CD/DVD ", "пластик", "CD/DVD ", "сиди, дивиди", "xZWqRY2fAvg.jpg", "1", "1", ""
