id;lat;lng;title;reiting;content_text;address;content;cats
6549;55.7864684;37.5944957;"ООО ""Эколайн""";5;Бумага, Стекло, Пластик, Металл;Новослободская ул., 50;"<div class=""trash_type sm_trash_type""><span style=""background-image: url(images/trash/trash1.png)"" data-tooltip=""""></span><span style=""background-image: url(images/trash/trash2.png)"" data-tooltip=""""></span><span style=""background-image: url(images/trash/trash3.png)"" data-tooltip=""""></span><span style=""background-image: url(images/trash/trash4.png)"" data-tooltip=""""></span></div>";1_2_3_4
6550;55.7910456;37.5903827;"ООО ""Эколайн""";0;Бумага, Стекло, Пластик, Металл;Новослободская ул., 62;"<div class=""trash_type sm_trash_type""><span style=""background-image: url(images/trash/trash1.png)"" data-tooltip=""""></span><span style=""background-image: url(images/trash/trash2.png)"" data-tooltip=""""></span><span style=""background-image: url(images/trash/trash3.png)"" data-tooltip=""""></span><span style=""background-image: url(images/trash/trash4.png)"" data-tooltip=""""></span></div>";1_2_3_4
6551;55.73037;37.6186596;"ООО ""Эколайн""";3.3;Бумага, Стекло, Пластик, Металл;Житная ул., 10;"<div class=""trash_type sm_trash_type""><span style=""background-image: url(images/trash/trash1.png)"" data-tooltip=""""></span><span style=""background-image: url(images/trash/trash2.png)"" data-tooltip=""""></span><span style=""background-image: url(images/trash/trash3.png)"" data-tooltip=""""></span><span style=""background-image: url(images/trash/trash4.png)"" data-tooltip=""""></span></div>";1_2_3_4
6552;55.6579053838304;37.4980072830811;ГТСК Групп. Чистая планета.;0;Бумага, Стекло, Пластик, Металл, Тетра Пак;Ленинский пр., 146;"<div class=""trash_type sm_trash_type""><span style=""background-image: url(images/trash/trash1.png)"" data-tooltip=""""></span><span style=""background-image: url(images/trash/trash2.png)"" data-tooltip=""""></span><span style=""background-image: url(images/trash/trash3.png)"" data-tooltip=""""></span><span style=""background-image: url(images/trash/trash4.png)"" data-tooltip=""""></span><span style=""background-image: url(images/trash/trash11.png)"" data-tooltip=""""></span></div>";1_2_3_4_11
6554;55.6316615076239;37.4732141534423;"Контейнеры от ООО ""МКМ-Логистика""";1;Бумага, Стекло, Пластик, Металл;Академика Варги ул., д. 16с1;"<div class=""trash_type sm_trash_type""><span style=""background-image: url(images/trash/trash1.png)"" data-tooltip=""""></span><span style=""background-image: url(images/trash/trash2.png)"" data-tooltip=""""></span><span style=""background-image: url(images/trash/trash3.png)"" data-tooltip=""""></span><span style=""background-image: url(images/trash/trash4.png)"" data-tooltip=""""></span></div>";1_2_3_4
6555;55.92944;38.003935;Гипермаркет Globus;5;Батарейки, Лампочки;Пролетарский пр., 18;"<div class=""trash_type sm_trash_type""><span style=""background-image: url(images/trash/trash8.png)"" data-tooltip=""""></span><span style=""background-image: url(images/trash/trash9.png)"" data-tooltip=""""></span></div>";8_9
6557;55.7903972;37.7836606999999;"контейнер для пластика ООО ""Хартия""";5;Пластик;3-я Парковая ул., 7/17;"<div class=""trash_type sm_trash_type""><span style=""background-image: url(images/trash/trash3.png)"" data-tooltip=""""></span></div>";3
6563;55.984661904226;37.1587854446473;МСК-НТ;0;Бумага, Стекло, Пластик, Металл;Зеленоградский административный округ, корпус 1454;"<div class=""trash_type sm_trash_type""><span style=""background-image: url(images/trash/trash1.png)"" data-tooltip=""""></span><span style=""background-image: url(images/trash/trash2.png)"" data-tooltip=""""></span><span style=""background-image: url(images/trash/trash3.png)"" data-tooltip=""""></span><span style=""background-image: url(images/trash/trash4.png)"" data-tooltip=""""></span></div>";1_2_3_4
6567;55.6865478;37.5694468;"Контейнеры от ООО ""МКМ-Логистика""";0;Бумага, Стекло, Пластик, Металл;Профсоюзная ул., 8к2;"<div class=""trash_type sm_trash_type""><span style=""background-image: url(images/trash/trash1.png)"" data-tooltip=""""></span><span style=""background-image: url(images/trash/trash2.png)"" data-tooltip=""""></span><span style=""background-image: url(images/trash/trash3.png)"" data-tooltip=""""></span><span style=""background-image: url(images/trash/trash4.png)"" data-tooltip=""""></span></div>";1_2_3_4
6570;55.683758;37.569868;"Контейнеры от ООО ""МКМ-Логистика""";1;Бумага, Стекло, Пластик, Металл;Профсоюзная ул., 7/12;"<div class=""trash_type sm_trash_type""><span style=""background-image: url(images/trash/trash1.png)"" data-tooltip=""""></span><span style=""background-image: url(images/trash/trash2.png)"" data-tooltip=""""></span><span style=""background-image: url(images/trash/trash3.png)"" data-tooltip=""""></span><span style=""background-image: url(images/trash/trash4.png)"" data-tooltip=""""></span></div>";1_2_3_4
